folder_name,root_name,child_name,years,months,days,speaker,text,CHI_response,adult_coherence_score,child_coherence_score
Valian,07a,,2.0,3.0,20.0,MOT,how did you get your hurt?,he kissed.,0.9,0.4
Peters,010817,Seth,1.0,8.0,17.0,FAT,well good. come on over here! I'm not coming to get you?,up? chih chih? chih? chih? chih? chih? chih? chih. ooaa. ooaa. a Teddy? Teddy. Teddy. Teddy. Teddy. chih? chih?,0.6,0.1
MacWhinney,060002b,Ross,6.0,0.0,2.0,FAT,good boy. and what if I told you they were the same price?,I would go for either one.,0.8,0.8
MacWhinney,021001b,Ross,2.0,10.0,1.0,FAT,huh. yeah. not those block baskets that are in your closet. right?,no. not yucky. not big ones.,0.7,0.6
Brown/Adam,030814,Adam,3.0,8.0,14.0,MOT,let's try to figure it out. what does he need if he jumps out?,I don't know. I had a accident. it's talking. it's stuck.,0.8,0.3
Weist/Emma,040125,Emma,4.0,1.0,25.0,LAU,"Clifford? what's it called, just Clifford?",The Red Dog.,0.9,0.9
HSLLD/HV7/MT,emimt7,Emily,8.0,10.0,30.0,MOT,did you. get batteries or something?,Daddy! I.,0.7,0.2
McCune/Jase,020000,Jase,2.0,0.0,0.0,MOT,where's the truck going?,mail truck.,0.9,0.8
Bloom/Peter,010908,Peter,1.0,9.0,8.0,LOI,you gonna get some more books?,books. books.,0.8,0.6
Demetras2/Jimmy/mother,020923,Jimmy,2.0,9.0,23.0,MOT,well I think he goes on that big long piece. where'd that big long piece go?,I don't know. I have.,0.7,0.3
Gelman/2014-IndDiff,71C-P2,,4.0,8.0,25.0,MOT,maybe. do you remember what those are called?,canines.,0.8,0.8
Bloom/Peter,010908,Peter,1.0,9.0,8.0,PAT,is your pocket empty?,byebye!,0.9,0.1
NewmanRatner/24,5733LBE,5733LBE24,2.0,0.0,,MOT,Lee. look at these pictures. Lee! look at all these animals what do you think might go on this picture? 0 can you find all the things that live on the sea?,huh.,0.9,0.1
Hall/WhiteWork,dal,David,4.0,9.0,,EXP,he was screaming and yelling a little bit too. where are you going with that David?,I wanna see that. I wanna see the jello.,0.8,0.6
Gelman/2014-IndDiff,51C-P2,,4.0,6.0,1.0,MOT,all done? you don't want to look anymore? you don't want to tell me about the clown or the lobster or the horse?,mhm.,0.9,0.2
HSLLD/HV1/TP,bratp1,,3.0,7.0,20.0,MOT,oh! peanut butter jelly and marshmallow. you're gonna cook it?,huh! that's my sandwich.,0.8,0.8
Suppes,011116,Nina,1.0,11.0,16.0,MOT,the mouth of the fish. what color is the mouth of the fish?,red.,0.9,0.9
Snow,030021a,Nathaniel,3.0,0.0,21.0,MOT,Daddy's still at work. do you know that it's night time Nathaniel? it's not morning? do you know that?,Daddy's working outside?,0.8,0.4
NewEngland/20,60,Sarah,1.0,7.0,29.0,MOT,hee_haw. where's his tail?,there.,0.9,0.9
Brown/Sarah,040216,Sarah,4.0,2.0,16.0,GAI,what did she do wrong?,she. punish ya. she was little Nana.,0.8,0.6
Brown/Sarah,030117,Sarah,3.0,1.0,17.0,MOT,yellow. she got yellow legs? you got yellow legs?,no.,0.9,0.9
Gelman/2014-IndDiff,18C-P1,,4.0,10.0,5.0,MOT,do you think this is an old horse? do you think that's a grandpa horse? take a look at him. what kind of horse is that?,that's a grandpa horse.,0.9,0.9
Weist/Roman,030417,Roman,3.0,4.0,17.0,RYA,what do they wanna do?,they wanna flash their lights in the garbage.,0.8,0.7
Gelman/2004-Gender,36,,4.0,11.0,17.0,MOT,you can't deliver the newspaper? who could be a cheerleader? why not?,he's a boy.,0.8,0.8
HSLLD/HV2/TP,fratp2,,4.0,2.0,17.0,MOT,www. where's my saucer? you made me tea? I got a spoon. you got your spoon Chi?,hm.,0.8,0.2
Braunwald,020221,Laura,2.0,2.0,21.0,MOT,you open my purse? and what do I say when I find my purse?,I don't like it. ah.,0.8,0.2
HSLLD/HV2/MT,karmt2,,4.0,5.0,10.0,MOT,the school you're going to for kindergarten? what's that school down there?,kindergarten.,0.8,0.8
Gelman/2014-IndDiff,30C-R2,,4.0,4.0,3.0,INV,"okay, you wanna turn the next page? what is this?",a baby.,0.9,0.9
PetersonMcCabe,08,Mary,4.0,0.0,,INV,yeah? and you found some what?,we found some frogs down south but the frogs hopped away.,0.4,0.8
Warren,sandra,Sandra,6.0,2.0,,FAT,yeh. your mom doesn't want you to play soccer though. does she?,nope. because you get too dirty. and I like getting dirty.,0.7,0.9
McCune/Alice,020002,Alice,2.0,0.0,2.0,MOT,does this go in the toolbox?,yes.,0.9,0.9
Suppes,020926,Nina,2.0,9.0,26.0,MOT,can you fix them up on the side of the road?,how do these open? how do these things open?,0.7,0.4
Suppes,021028,Nina,2.0,10.0,28.0,MOT,did you have a kitty at your other house?,where's my other house?,0.8,0.6
Demetras2/Tim/father,020206,Tim,2.0,2.0,6.0,FAT,is that gonna be big enough?,yes. for jeep.,0.7,0.8
NewmanRatner/24,6626SW,6626SW24,2.0,0.0,,MOT,open it? I don't think this opens. what is it? what is this?,this peach.,0.4,0.9
Hall/BlackWork,roj,Ronald,4.0,9.0,,MOT,"now you going to bed, okay?","okay, I'm looking at the Muffet_Show, okay?",0.9,0.4
Brown/Sarah,041113,Sarah,4.0,11.0,13.0,MOT,where? no. the other side. down. and around that way. towards Gail. see you're going towards Melissa. you hafta go towards Gail. yeah. well what's that?,a d.,0.3,0.3
Gelman/2004-Gender,59,,6.0,5.0,26.0,MOT,chocolate chip cookies or raisin cookies?,raisin.,0.9,0.9
Brown/Sarah,020322,Sarah,2.0,3.0,22.0,MOT,no. Mommy didn't buy you the apron. who brought you the apron?,my daddy.,0.8,0.9
Brown/Sarah,020322,Sarah,2.0,3.0,22.0,MOT,that's his hair. don't you love the baby?,blanket.,0.7,0.3
HSLLD/HV2/BR,vicbr2,,4.0,9.0,11.0,MOT,on Friday he ate. count them. how many oranges?,one two three four five.,0.8,0.9
Snow,030408b,Nathaniel,3.0,4.0,8.0,FAT,with your hands right?,read this one.,0.7,0.3
Bloom/Peter,021019,Peter,2.0,10.0,19.0,PAT,well you let us know if it's strange?,yep. like mommy. yep like that. it's one like that. you can put that on. yep. that. yep. yep. yep. yep.,0.6,0.2
HSLLD/HV7/LW,petlw7,,9.0,6.0,7.0,INV,you know Christa? no. just like the name?,wonder why this caterpillar is so hungry? he's fat. fatter than an acorn.,0.4,0.1
HSLLD/HV1/ER,doner1,,3.0,9.0,9.0,MOT,and then we got in the car? and we came home. and what did you do when you got home?,went under the sprinkler. then I went in the tub. right Mom? right Mom?,0.8,0.9
Hall/WhitePro,gas,Gabriel,4.0,9.0,,MOT,where did you hear that one? who says fighead?,"from me. no, I hafta say peep head.",0.6,0.4
Bohannon/Nat,angela,Nathaniel,3.0,0.0,,ANG,oh. okay. what do you say?,please.,0.9,0.9
Demetras1,030007,Trevor,3.0,0.0,7.0,FAT,you know what this is?,what?,0.8,0.8
Bohannon/Nat,debbie,Nat,3.0,0.0,,DEB,oh no. do you think he's going to be able to find it?,no.,0.7,0.7
Brown/Adam,031114,Adam,3.0,11.0,14.0,MOT,what did we say about that word?,he thinks that.,0.6,0.4
Weist/Matt,041015,Matt,4.0,10.0,15.0,MOT,I don't know what you've been doing. oh_my_goodness how_about. I'll give you a hint. aquarium. what'd you say about going to the aquarium? what'd you say about going to the aquarium?,I saw a big great white shark.,0.8,0.9
Brown/Eve,020200b,Eve,2.0,2.0,0.0,COL,and what have you put on the table?,my feet. I going to jump. jump. I gonna put these. things on the couch that you. you can put these here? okay?,0.8,0.6
Brown/Eve,010600a,Eve,1.0,6.0,0.0,MOT,good girl. yes. ‡ that was a good girl. what are you doing?,Neil sit that?,0.8,0.4
HSLLD/HV1/TP,devtp1,,3.0,8.0,4.0,MOT,hello. yes. what are you doing?,what are you doing?,0.9,0.4
Sachs,020117,Naomi,2.0,1.0,17.0,MOT,that's Georgie's bed?,Georgie's bed. wait. tell him? tell him? goo Georgie.,0.9,0.8
Suppes,020212,Nina,2.0,2.0,12.0,MOT,yes it moves. it's called a trunk. what's he holding in his trunk? what's the elephant holding in his trunk?,a head move.,0.9,0.4
Brown/Adam,021030,Adam,2.0,10.0,30.0,MOT,do you think she needs a helper?,yes. do you want eat my chocolate?,0.8,0.2
Kuczaj,020704,Abe,2.0,7.0,4.0,FAT,Abe. you like those „ don't you?,uhhuh.,0.9,0.8
Clark,021014,Shem,2.0,10.0,14.0,MOT,she doesn't wanna let go. does she?,watch this. there you go there. it's open!,0.8,0.4
Suppes,020913,Nina,2.0,9.0,13.0,MOT,oh. look out the window. who's running around?,who that?,0.9,0.4
HSLLD/HV5/LW,trilw5,,7.0,4.0,18.0,MOT,you wanna know how you should end it?,love.,0.4,0.2
Bloom/Peter,020522,Peter,2.0,5.0,22.0,LOI,good. what're you doing?,just having a ruler.,0.8,0.6
Brown/Sarah,031009,Sarah,3.0,10.0,9.0,MEL,what's he looking at? what's over there?,he's looking at that.,0.9,0.8
NewmanRatner/18,5661AP,5661AP18,1.0,6.0,,MOT,red. that's right. oops we missed a page. do you remember the hat? oops you're more interested in the curtains. okay. go back for the hat? who's under the hat? and behind the teddy bear. peekaboo! it's the end. there's some more books behind you if you wanna read them. behind you. yes. there's also look what is. what are these? are these keys? like what we see in Goodnight_Gorilla? that got everybody out of the zoo?,yyy.,0.6,0.1
Weist/Matt,030704,Matt,3.0,7.0,4.0,MOT,it gets very cold. what did they do? why did they go on a journey in that movie. in The Big Freeze movie? why did they go on a little trip. remember?,to find Spike.,0.8,0.9
Gelman/2004-Gender,47,,4.0,7.0,5.0,MOT,or do you think they can do the same things as boys?,they can well boys can play Batman.,0.9,0.8
Weist/Jillian,020206,Jillian,2.0,2.0,6.0,MOT,it was a very good book. it's about when you get sand everywhere once you go on the beach. is that what happens? do you remember when we went to the beach? did we get a_lot_of sand everywhere? where was the sand? where was the sand when we went to the beach? remember when you had it. over here?,uhuh no.,0.8,0.4
Kuczaj,030205,Abe,3.0,2.0,5.0,FAT,how do you make a hole?,you cut it.,0.9,0.8
HSLLD/HV2/BR,admbr2,,4.0,11.0,28.0,MOT,is that what the caterpillar turns into before he. is a butterfly?,yup.,0.9,0.9
Brown/Sarah,020322,Sarah,2.0,3.0,22.0,MOT,they're wrong. where's Bozo?,Bobo there.,0.7,0.8
Lego-protect/Lego,026-1,,,,,MOT,your teeth are bothering you huh?,c.,0.8,0.1
Weist/Emma,030721,Emma,3.0,7.0,21.0,JES,"hm. I don't see it, do you?","no, but there's.",0.8,0.6
Gelman/2014-IndDiff,63C-P1,,4.0,6.0,4.0,MOT,"mhm. do you think he can, do anything special?",fly.,0.8,0.8
Suppes,020212,Nina,2.0,2.0,12.0,MOT,oh. and now are you making her go to sleep? are you rubbing her back?,don't.,0.8,0.4
Clark,020216,Shem,2.0,2.0,16.0,INV,it went away. what? what? you wanna spell what?,I want we wow wow.,0.6,0.2
MacWhinney,061017c,Ross,6.0,10.0,17.0,FAT,and what do you say dear?,what do you say dear? it's the end!,0.8,0.9
Gelman/2004-Gender,34,,4.0,0.0,1.0,MOT,who can help bake cookies?,I can't.,0.9,0.4
NewmanRatner/24,7658LT,7658LT24,2.0,0.0,,MOT,who should have potatoes?,yyy.,0.8,0.1
Gelman/2014-IndDiff,18C-P1,,4.0,10.0,5.0,MOT,clouds in the sky. and he's driving something. what do you think he's driving?,bus.,0.9,0.8
Valian,05a,,2.0,1.0,21.0,MOT,"alright. now what are we gonna do now? whoops, you missed. whoop. oh, poor dolly, that hurts the dolly when you hit her too hard. just gentle, okay? okay? test the other knee?",okay.,0.7,0.9
HSLLD/HV7/LW,alllw7,,8.0,11.0,24.0,MOT,mhm. you wanna end it?,I'll write from.,0.6,0.2
Hall/BlackPro,mim,Mia,4.0,9.0,,SIS,why'd you say you didn't wanna go to PS. ninety two?,I'm not talking about anything. so would you. keep your mouth shut Melissa.,0.9,0.9
Kuczaj,040321,Abe,4.0,3.0,21.0,MOT,what did we do with them?,I don't know.,0.8,0.8
Hall/BlackPro,kif,Kip,4.0,9.0,,EXP,thank_you. I took one of each okay?,huh?,0.7,0.3
Valian,13a,,2.0,4.0,2.0,MOT,and where is she now?,at Place.,0.9,0.7
Morisset/UCLA,356m36,Danielle,3.0,3.0,,MOT,he's sorry. look. what did he do?,he wasted.,0.8,0.7
Morisset/Topeka,127m30t,April,2.0,6.0,,MOT,want something to drink? no. you don't want any drink? huh?,I want Happy_Meal.,0.9,0.8
Weist/Roman,020507,Roman,2.0,5.0,7.0,FAT,what's a chicken say?,it's a cow!,0.9,0.2
Hall/BlackWork,anl,Anthony,4.0,9.0,,MOT,she wants to see what?,the big wheel.,0.8,0.8
Gelman/2014-IndDiff,02C-P1,,4.0,10.0,22.0,MOT,yeah. how can you tell he's a king?,because he has crown.,0.9,0.9
Suppes,020212,Nina,2.0,2.0,12.0,MOT,oh. Nina. what's here up in the sky? you're doing what?,nurse.,0.7,0.3
Weist/Roman,030925,Roman,3.0,9.0,25.0,FAT,do they go in his mouth?,"no right on his feet, right in there.",0.8,0.1
Gelman/2016-Robodog,33,,3.0,6.0,,MOT,what were those called?,jellyfish.,0.4,0.8
Gelman/2014-IndDiff,66C-P1,,4.0,5.0,18.0,MOT,yes. ooh what do you think this is?,I don't know.,0.6,0.8
Weist/Matt,030514,Matt,3.0,5.0,14.0,MOT,huh. the right day then what?,I'm trying to make a top.,0.2,0.6
Bloom/Peter,020010,Peter,2.0,0.0,10.0,LOI,put it back? want me to help you?,no finished. help you.,0.8,0.6
HSLLD/HV2/TP,anntp2,,4.0,2.0,13.0,MOT,there. now I'm a fire chief. what do I drive?,a fire.,0.8,0.4
Soderstrom/Joe,000901,Joseph,0.0,9.0,1.0,MOT,akkeghk what kind of noise was that?,keh kekkhh. uheh.,0.4,0.8
Valian,01b,,2.0,1.0,12.0,MOT,"oh, she, I mean, terrific, I love it. yeah, those are oranges to eat and you can have one with lunch. yeah. do you like grapefruit too?",no.,0.8,0.6
Weist/Emily,030012,Emily,3.0,0.0,12.0,CAR,"hey, I need you right by here, remember?","what, Bailey needs his toy. I gotta go downstairs a minute. ah. eating stuff, and the juice. I packed juice for you, and I packed lunch for you.",0.8,0.2
Clark,020328,Shem,2.0,3.0,28.0,INV,where we gonna go now?,we.,0.8,0.2
Weist/Emma,030120,Emma,3.0,1.0,20.0,JES,no? what is this one for?,that one goes there.,0.8,0.8
HSLLD/HV1/TP,roctp1,,4.0,4.0,14.0,MOT,oh would you like me to fix it for you?,no thanks.,0.8,0.8
MacWhinney,030001c,Ross,3.0,0.0,1.0,FAT,does Santa Claus have a wife?,huh?,0.8,0.2
HSLLD/HV2/TP,brttp2,,4.0,7.0,26.0,MOT,why? sure! I know how to make a building. you don't think that's a building?,is that a building? thank you.,0.8,0.8
Gelman/2014-IndDiff,67C-P2,,4.0,5.0,26.0,MOT,yeah? oh look who I found again. look who I found again. where are you going? the horse is gonna find you. she's gonna find you. oh you're too heavy CHI CHI. you're getting too heavy. ow ow ow ow ow don't hit Mommy. don't hit Mommy. what's that horsie's name again?,popcorn Baby.,0.6,0.8
MacWhinney,030625a,Ross,3.0,6.0,25.0,FAT,do you know what mehetsz means?,what?,0.8,0.2
Bloom/Peter,020100,Peter,2.0,1.0,,PAT,what_about. in there pocketbook?,pocketbook.,0.2,0.6
Brown/Sarah,040711,Sarah,4.0,7.0,11.0,MOT,who did you play with?,who did I play with?,0.9,0.1
HSLLD/HV3/TP,remtp3,,5.0,11.0,1.0,MOT,now basically you want us to a car or do you wanna see him play?,oh!,0.7,0.1
Brown/Eve,020000b,Eve,2.0,0.0,0.0,MOT,taking the bread off? why? why don't you eat it?,what Fraser doing?,0.9,0.1
PLAY,CDH1,,3.0,2.0,,ADU,okay. what are we gonna get?,some goat cheese.,0.8,0.8
HSLLD/HV3/RE,trire3,,5.0,7.0,25.0,INV,oh there's nothing to be scared of honey. look you can just tell me what happens in the book. what's this?,caterpillar.,0.9,0.8
HSLLD/HV2/BR,bratp2,,5.0,4.0,8.0,MOT,what do you hafta eat?,peanut butter and jelly.,0.8,0.9
HSLLD/HV2/TP,rastp2,,4.0,9.0,7.0,MOT,alright honey. all eating lunch. come on get your monster! there'll be a monster fight. come on lunch. what else they having with their hamburgers?,hm french fries. that's good.,0.8,0.8
Gelman/2014-IndDiff,62C-P1,,4.0,5.0,4.0,MOT,what does he have in his hands?,glasses.,0.9,0.8
Hall/BlackWork,pag,Patrick,4.0,9.0,,EXP,"hunm no let's leave it this way, okay?",here?,0.6,0.4
Valian,03b,,2.0,2.0,1.0,MOT,where's he going? is he gonna have some of the birdfeed with the birds out there?,no.,0.8,0.8
NewEngland/20,07,Norman,1.0,7.0,27.0,MOT,Norman. look. you can't go bouncing back and forth. now what do you wanna play with? the peekaboo?,ball.,0.8,0.8
Gelman/2014-IndDiff,33C-P1,,4.0,11.0,2.0,MOT,"because she has a cane, like Grandma. remember when at Grandma's house, when Grandma hurt her back? and so she was walking with that cane. and you were playing with it? does that look like Grandma?",what's that?,0.9,0.1
Brown/Adam,041023,Adam,4.0,10.0,23.0,MOT,stand up. what're you sposta be?,I know. the bear went over the mountain. I sing that at school. to see what he could see. to see what he could see. to see what he could see. the bear went over the mountain. see that? okay. Paul. okay. what's that? a Mexican bean. you wanna take only one home? Paul. give her the bean.,0.6,0.8
NewmanRatner/24,6785KS,6785KS24,2.0,0.0,,MOT,look! on the farm. you see? old Macdonald had a farm. ee I ee I o. and on that farm he had a. sheep! ee I ee I o. with a baba here. and a baba there. here a ba. there a ba. everywhere a baba. old Macdonald had a farm. ee I ee I o. and on this farm there was a. what's this?,a horse.,0.9,0.8
Weist/Jillian,020421,Jillian,2.0,4.0,21.0,CAT,so where do you think he might be taking him?,to the store.,0.8,0.7
Valian,14b,,2.0,4.0,26.0,MOT,"right. oh, what's that little thing? who does that look like?",what's that?,0.8,0.1
Weist/Roman,030114,Roman,3.0,1.0,14.0,MOT,"is that a, what is that?","you can, I can have this, and. you have this.",0.7,0.2
Gelman/1998-Books/picturebook35,24,,3.0,0.0,16.0,MOT,this is not a squirrel but it kind of looks like a squirrel. it's real tiny. they're about that long. it's called a chipmunk. they're real cute. what's different about the chipmunk than the squirrel?,this has little eyes.,0.9,0.8
Weist/Roman,040400,Roman,4.0,4.0,0.0,MOT,oh. can you tell us about your day?,nope no. no thing!,0.9,0.4
Hall/BlackPro,brd,Brett,4.0,9.0,,MCH,could or would? you up there?,I could do it higher I could.,0.6,0.8
Gelman/2014-IndDiff,65C-P1,,4.0,10.0,23.0,MOT,you sure? is that just because you want it to be a she? okay. but what color is it?,orange.,0.8,0.9
Weist/Roman,020507,Roman,2.0,5.0,7.0,JEN,"yay! is this a big horse, or a little horse?",a big horse.,0.9,0.9
Brown/Sarah,030320,Sarah,3.0,3.0,20.0,MOT,where'd I ever get you from? hm? where'd I get you from?,he.,0.4,0.2
Kuczaj,040109,Abe,4.0,1.0,9.0,FAT,how come that's your new name?,well ‡ Daddy. see? see. Dad? does that spell leopard?,0.8,0.6
Gelman/2014-IndDiff,58C-R1,,4.0,6.0,21.0,INV,what more can you tell me?,"skunks have special stinkiness coming from bu, um coming from their tail.",0.9,0.9
Weist/Roman,040217,Roman,4.0,2.0,17.0,MOT,you think somebody cut his teeth?,oh.,0.8,0.2
NewmanRatner/18,5543EF,5543EF18,1.0,6.0,,MOT,yeah. you want this? can you lift it? who's under the umbrella?,oh.,0.7,0.2
Bates/Free28,gloria28,Gloria,2.0,4.0,,MOT,here can put. can you find the hole that the ball goes in?,where? this?,0.9,0.8
Gleason/Dinner,isadora,Isadora,3.0,6.0,21.0,MOT,then what did you help me do this afternoon?,I helped cook. I went over to Brattleboro Street and then.,0.9,0.8
Suppes,020328,Nina,2.0,3.0,28.0,MOT,what do you want me to do?,take it out.,0.8,0.9
NewmanRatner/18,5013LA,5013LA18,1.0,6.0,,MOT,mm is that good? is that good?,yyy.,0.8,0.8
Weist/Emily,020704,Emily,2.0,7.0,4.0,CAR,mm hm. and who's this?,Noah Ark.,0.9,0.9
Brown/Adam,030126,Adam,3.0,1.0,26.0,URS,does it taste very good. Adam?,yep.,0.9,0.9
Bohannon/Bax,kelley,Baxter,3.0,0.0,,KEL,huh? what kind of car is it? what?,huh?,0.2,0.2
Gelman/2014-IndDiff,34C-P1,,4.0,8.0,28.0,MOT,mm Fourteen after fourteen?,fifteen.,0.8,0.9
HSLLD/HV2/MT,casmt2,,4.0,6.0,11.0,MOT,you want me to cut up the leaves? or you gonna eat them whole?,whole.,0.9,0.9
MacWhinney,030720,Ross,3.0,7.0,20.0,FAT,and what does he do now?,he doesn't say it anymore.,0.8,0.7
HSLLD/HV3/ET,mayet3,,5.0,9.0,9.0,INV,why don't you sit down with your Mom and you can play with toys okay?,okay. I saw these in school. look a nickel!,0.9,0.4
Lego-protect/Lego,021-1,,,,,MOT,do you want any oat bar?,b.,0.9,0.4
Weist/Jillian,020108,Jillian,2.0,1.0,8.0,JEN,yeah? maybe a pretend blanket. pull it right up. what's he doing in his bed now?,he's sleeping.,0.9,0.9
Weist/Roman,030501,Roman,3.0,5.0,1.0,FAT,"you know the bugs that it like, look like this? right?",right.,0.9,0.9
Hicks/Kinder/report,rep043,Petruvna,5.0,9.0,,RES,this is Petruvna and Deborah. news reporters. and we're gonna tell. what we saw. happen in The Red Balloon. and I'm gonna start off. News Headlines Boy Seen Flying Over City! the first thing that I saw happen was. a little boy found a red balloon on his way to the bus stop. he was seen walking with the balloon to a bus. he got on the bus. and the balloon followed behind. can you take over now. and be the reporter? and tell what. you saw happen?,well. all I know is. the boys just liked the balloon. because it was shiny. and. all of a sudden. some boys got it. and then they got the boy. and the boy. shooted it. and then. all of the people's balloon flew away from their hands. and then. they don't know. where they were. well. they were coming to the little boy.,0.9,0.8
Weist/Matt,031106,Matt,3.0,11.0,6.0,MOT,and what would you like to do today?,what do you wanna do?,0.9,0.4
HSLLD/HV2/TP,brttp2,,4.0,7.0,26.0,MOT,what did you do today?,played outside.,0.9,0.9
Brown/Sarah,020825b,Sarah,2.0,8.0,25.0,MOT,what's the Indian say?,like this.,0.7,0.4
Valian,03a,,2.0,1.0,23.0,MOT,"she put the license plate on Child's car. well, come over here. wanna see this book? look_it! what's that right there?",school bus.,0.8,0.9
MacWhinney,040920c,Ross,4.0,9.0,20.0,FAT,what are the edges called?,thunder_edge?,0.9,0.2
HSLLD/HV2/MT,casmt2,,4.0,6.0,11.0,FAT,like the guy in the bathtub? like you know that black guy↑ that plastic thing there?,why?,0.7,0.4
Brown/Sarah,040912,Sarah,4.0,9.0,12.0,MEL,who's gonna get this valentine?,I don't know.,0.8,0.6
Braunwald,070014,Laura,7.0,0.0,14.0,MOT,I see. is that what you're trying to do?,no. and we could do it.,0.7,0.5
Gelman/2004-Gender,63,,6.0,7.0,15.0,MOT,would it surprise you to have a picture of a girl playing with trucks?,mm no.,0.9,0.8
Suppes,020525,Nina,2.0,5.0,25.0,MOT,he loves him. he loves his baby. she actually. cause she's the mommy. oh here's some more giraffes. what are these giraffes doing?,kissing.,0.8,0.9
Suppes,020926,Nina,2.0,9.0,26.0,MOT,what are we going to have beside the village?,animals.,0.9,0.8
Peters,010424a,Seth,1.0,4.0,24.0,FAT,do you want me to pick you up? chih?,ntuu?,0.9,0.2
Gleason/Mother,eddie,Eddie,4.0,3.0,12.0,MOT,what would you like to buy today?,I think some Rice Krisp.,0.9,0.8
Gelman/2004-Gender,68,,6.0,0.0,27.0,MOT,who can be a race car driver?,I don't know anyone can be that.,0.8,0.7
Suppes,011129,Nina,1.0,11.0,29.0,MOT,that's a yellow box. what color is this box?,blue box.,0.9,0.1
Gelman/2014-IndDiff,41C-R2,,3.0,11.0,26.0,INV,what else can you tell me?,this is ice cream. and I like it. that's it.,0.8,0.8
Suppes,020418,Nina,2.0,4.0,18.0,MOT,oh. a knot. is there a knot in Mommy's hair? let's do it softly then. okay? here I'll hold it. okay. now you comb it softly. what are you doing?,a mouse in there.,0.8,0.3
VanHouten/Threes/freeplay,saintf,Jeffrey,3.0,4.0,10.0,INV,whoa my_goodness. how does that work? how does that work?,it works like that.,0.8,0.2
HSLLD/HV3/TP,mortp3,,5.0,8.0,12.0,MOT,wanna give him something to drink?,Bro look_it.,0.8,0.4
MacWhinney,021107,Ross,2.0,11.0,7.0,FAT,you still might go in the garbage can. do you wanna go in the garbage can?,no.,0.8,0.9
Hall/WhiteWork,kag,Karen,4.0,9.0,,FCH,where? I know you made a lot. you know to make a lot? haha. you wanna write you?,k a r e n.,0.7,0.8
Brown/Adam,021113,Adam,2.0,11.0,13.0,MOT,why do you think Mommy hugged you?,I. waking up.,0.8,0.6
Bloom/Peter,020213,Peter,2.0,2.0,13.0,LOI,this sheep goes there?,where's a sheep.,0.4,0.4
Brown/Adam,020318,Adam,2.0,3.0,18.0,MOT,do you know how old you are?,two. two boy.,0.9,0.8
Gopnik/prompted,p04621,Student,3.0,0.0,,INT,"okay, they're playing ball. what's happening here? talk louder?",a playing wood.,0.7,0.3
HSLLD/HV3/TP,clatp3,,5.0,7.0,8.0,MOT,yup. what's the difference between and these then? huh? huh?,I wanna.,0.3,0.1
Hall/WhitePro,zoe,Zoe,4.0,9.0,,FCH,what do have in here?,the water. I have real water. wanna see?,0.8,0.9
Clark,020420,Shem,2.0,4.0,20.0,INV,off? does it have an alarm? is it an alarm clock?,I wanna turn it on again.,0.8,0.6
Bloom/Peter,011011,Peter,1.0,10.0,11.0,PAT,shall you turn on the light?,turn light.,0.9,0.8
Gleason/Mother,wanda,Wanda,3.0,11.0,22.0,MOT,"that wheel is broken? so you wanna put that back in here? okay, Debbie we needta have a bolt back here. wait a minute, Debbie. I need a bolt back in here. can you slide that bolt in?",this one.,0.8,0.8
Kuczaj,020901,Abe,2.0,9.0,1.0,MOT,are those all your friends?,uhhuh and Goofy.,0.8,0.8
MacWhinney,020909a,Ross,2.0,9.0,9.0,FAT,do you have a tricycle too?,nope.,0.8,0.8
MacWhinney,010425a,Ross,1.0,4.0,25.0,FAT,what would you like Honey? would you like to be able to talk?,thank_you.,0.6,0.2
Bloom/Peter,020415,Peter,2.0,4.0,15.0,PAT,now where're you going?,get a. let's put the blocks in the smokestack! it's a smokestack!,0.8,0.8
Weist/Roman,020611,Roman,2.0,6.0,11.0,JEN,and what is he doing?,he doing doctor.,0.8,0.8
Gelman/1998-Books/picturebook35,08,,3.0,0.0,28.0,MOT,"yeah, well, it might be gray hair. okay, now these are other kinds. this is a seal. and this is a seal. and this is a walrus. and what's that?",a ball.,0.8,0.2
MacWhinney,030328,Ross,3.0,3.0,28.0,FAT,what? what do you do with it?,you put scotch_tape.,0.8,0.6
Gelman/2014-IndDiff,18C-P1,,4.0,10.0,5.0,MOT,what do you like best about popcorn?,"because it's so good and hungry and yum, that I could almost eat it.",0.8,0.8
Weist/Matt,030823,Matt,3.0,8.0,23.0,MOT,you just wanna sit in this chair?,maybe maybe we will stop for a minute for me to eat this.,0.8,0.6
NewmanRatner/24,6818AP,6818AP24,2.0,0.0,,MOT,oh banana? what's that? no don't lick it. what is it?,yellow.,0.9,0.8
Soderstrom/The,000623c,Theo,0.0,6.0,23.0,MOT,"guh. see that? can you grab it? oh, see if you can get it. there you go. you got it, you got it. oh, you don't like that one. no, get that out of here. how about that guy?",wa.,0.7,0.2
Weist/Emma,030003,Emma,3.0,0.0,3.0,FAT,you need some more blanket too?,that's not my wool blanket.,0.8,0.8
PetersonMcCabe,02,Mary,4.0,0.0,,INV,it was your birthday one time?,you know what kind of a birthday cake I had?,0.7,0.6
Bloom/Peter,020303,Peter,2.0,3.0,3.0,PAT,what does it look like?,a saw. right.,0.8,0.9
Clark,020321,Shem,2.0,3.0,21.0,INV,right. what's she doing?,riding the bus.,0.8,0.8
